"Story","Title","Result","Date","Stability","Duration (s)"
"HU06","Creacion exitosa","SUCCESS","2021-12-03T13:33:39.4217835-05:00[America/Bogota]","0.0","2.19"
"HU06","Creacion de un programa fallido por nombre","SUCCESS","2021-12-03T13:33:41.6234151-05:00[America/Bogota]","0.0","0.49"
"HU06","Creacion de un programa fallido por no suministrar cursos","SUCCESS","2021-12-03T13:33:42.1212776-05:00[America/Bogota]","0.0","0.49"
"HU06","Creacion de un programa fallido por 0 dias en la categoria","SUCCESS","2021-12-03T13:33:42.6184503-05:00[America/Bogota]","0.0","0.48"
"HU06","Creacion de un programa fallido por dias negativos en la categoria","SUCCESS","2021-12-03T13:33:43.1134255-05:00[America/Bogota]","0.0","0.46"
"HU06","Edicion de nombre exitoso","SUCCESS","2021-12-03T13:33:43.5894914-05:00[America/Bogota]","0.0","1.37"
"HU06","Edicion de nombre fallido","SUCCESS","2021-12-03T13:33:44.9763157-05:00[America/Bogota]","0.0","0.92"
"HU06","Agregar curso exitoso","SUCCESS","2021-12-03T13:33:45.9042089-05:00[America/Bogota]","0.0","1.41"
"HU06","Editar Programa sin cursos","SUCCESS","2021-12-03T13:33:47.3287984-05:00[America/Bogota]","0.0","1.38"
"HU06","eliminar programa exitoso","SUCCESS","2021-12-03T13:33:48.7172896-05:00[America/Bogota]","0.0","4.34"
"HU06","eliminar programa fallido","SUCCESS","2021-12-03T13:33:53.0652802-05:00[America/Bogota]","0.0","0.9"
"HU06","Consulta exitosa","SUCCESS","2021-12-03T13:33:53.9786496-05:00[America/Bogota]","0.0","0.5"
