"Story","Title","Result","Date","Stability","Duration (s)"
"HU02","consultar un training activo","SUCCESS","2021-12-03T13:33:20.747871-05:00[America/Bogota]","0.0","6.25"
"HU02","consultar todos los training activos","SUCCESS","2021-12-03T13:33:27.0239358-05:00[America/Bogota]","0.0","1.09"
"HU02","verificar que el programa que esta relacionado con el training activo exista","SUCCESS","2021-12-03T13:33:28.1278863-05:00[America/Bogota]","0.0","0.55"
"HU05","Buscar curso","SUCCESS","2021-12-03T13:33:28.6935623-05:00[America/Bogota]","0.0","1.12"
"HU05","Crear curso","SUCCESS","2021-12-03T13:33:29.8298977-05:00[America/Bogota]","0.0","1.08"
"HU05","Crear curso con dato average invalido","SUCCESS","2021-12-03T13:33:30.9260499-05:00[America/Bogota]","0.0","0.52"
"HU05","Crear curso con dato condition invalido","SUCCESS","2021-12-03T13:33:31.4569659-05:00[America/Bogota]","0.0","0.54"
"HU05","Crear curso con dato type invalido","SUCCESS","2021-12-03T13:33:32.0121814-05:00[America/Bogota]","0.0","0.5"
"HU05","Crear curso con dato name curso repetido","SUCCESS","2021-12-03T13:33:32.5277934-05:00[America/Bogota]","0.0","1.48"
"HU05","Crear curso con dato name categoria repetido","SUCCESS","2021-12-03T13:33:34.0219337-05:00[America/Bogota]","0.0","1.42"
"HU05","Crear curso vacio","SUCCESS","2021-12-03T13:33:35.4533219-05:00[America/Bogota]","0.0","0.54"
"HU05","Crear curso algunos campos vacios","SUCCESS","2021-12-03T13:33:36.0040828-05:00[America/Bogota]","0.0","0.51"
"HU05","Crear curso todos los campos invalidos","SUCCESS","2021-12-03T13:33:36.5216626-05:00[America/Bogota]","0.0","0.49"
"HU05","Editar curso","SUCCESS","2021-12-03T13:33:37.0208253-05:00[America/Bogota]","0.0","1.47"
"HU05","Eliminar curso","SUCCESS","2021-12-03T13:33:38.5051404-05:00[America/Bogota]","0.0","0.9"
"HU06","Creacion exitosa","SUCCESS","2021-12-03T13:33:39.4217835-05:00[America/Bogota]","0.0","2.19"
"HU06","Creacion de un programa fallido por nombre","SUCCESS","2021-12-03T13:33:41.6234151-05:00[America/Bogota]","0.0","0.49"
"HU06","Creacion de un programa fallido por no suministrar cursos","SUCCESS","2021-12-03T13:33:42.1212776-05:00[America/Bogota]","0.0","0.49"
"HU06","Creacion de un programa fallido por 0 dias en la categoria","SUCCESS","2021-12-03T13:33:42.6184503-05:00[America/Bogota]","0.0","0.48"
"HU06","Creacion de un programa fallido por dias negativos en la categoria","SUCCESS","2021-12-03T13:33:43.1134255-05:00[America/Bogota]","0.0","0.46"
"HU06","Edicion de nombre exitoso","SUCCESS","2021-12-03T13:33:43.5894914-05:00[America/Bogota]","0.0","1.37"
"HU06","Edicion de nombre fallido","SUCCESS","2021-12-03T13:33:44.9763157-05:00[America/Bogota]","0.0","0.92"
"HU06","Agregar curso exitoso","SUCCESS","2021-12-03T13:33:45.9042089-05:00[America/Bogota]","0.0","1.41"
"HU06","Editar Programa sin cursos","SUCCESS","2021-12-03T13:33:47.3287984-05:00[America/Bogota]","0.0","1.38"
"HU06","eliminar programa exitoso","SUCCESS","2021-12-03T13:33:48.7172896-05:00[America/Bogota]","0.0","4.34"
"HU06","eliminar programa fallido","SUCCESS","2021-12-03T13:33:53.0652802-05:00[America/Bogota]","0.0","0.9"
"HU06","Consulta exitosa","SUCCESS","2021-12-03T13:33:53.9786496-05:00[America/Bogota]","0.0","0.5"
"HU07","crear un training nuevo","SUCCESS","2021-12-03T13:33:54.4899099-05:00[America/Bogota]","0.0","0.65"
"HU07","crear un training de manera incorrecta","SUCCESS","2021-12-03T13:33:55.1470723-05:00[America/Bogota]","0.0","0.46"
"HU07","ver un training","SUCCESS","2021-12-03T13:33:55.6217538-05:00[America/Bogota]","0.0","0.61"
"HU07","ver un training de manera incorrecta","SUCCESS","2021-12-03T13:33:56.2469773-05:00[America/Bogota]","0.0","0.55"
"HU07","actualizar un training","SUCCESS","2021-12-03T13:33:56.8047114-05:00[America/Bogota]","0.0","0.49"
"HU07","actualizar un training de manera incorrecta","SUCCESS","2021-12-03T13:33:57.3052615-05:00[America/Bogota]","0.0","0.49"
"HU07","eliminar un training","SUCCESS","2021-12-03T13:33:57.8058092-05:00[America/Bogota]","0.0","0.48"
"HU07","eliminar un training de manera incorrecta","SUCCESS","2021-12-03T13:33:58.2952086-05:00[America/Bogota]","0.0","0.48"
"HU12","Creacion del perfil del aprendiz exitoso","SUCCESS","2021-12-03T13:33:58.7834181-05:00[America/Bogota]","0.0","2.29"
